benchmark,n_pairs,abs_rel_p50,abs_rel_p90,abs_rel_p99,abs_rel_max
aggregate_scalarization_bench,4980,0.33757767174994435,0.7325002616562127,0.8891368242018233,1.1298720181104749
async_state_machine_bench,4980,0.17819747121033272,0.6630223129430196,0.8553343569310716,1.1740287088369925
branch_cfg_bench,1660,0.09284926154845032,0.14824309803698182,0.5546646654047005,0.6734485566306496
iterator_pipeline_bench,3320,0.024606642126830815,0.06721934700046497,0.1705388640757361,1.186124484328598
loop_hoisting_bench,3320,0.12470422767219466,0.2547336846338694,0.45287203150504474,0.5080057694703519
trait_monomorphization_bench,3320,1.0983486963603424,1.7434948131849806,1.8613691270987778,1.8795372015600942
