Variant,ConfigName,n,runtime_med,compile_med,size_med,alloca_med,load_med,store_med,gep_med,phi_med,bb_med
B,EXP_ABL_041_disable-copyprop,3,2.677727,0.130762,453800,15,74,28,69,699,8
B,EXP_ABL_042_disable-demotion,3,2.895152,0.133412,453752,15,74,28,69,699,8
B,EXP_ABL_043_disable-gep-const-evaluation,3,2.830296,0.142670,453752,15,74,28,69,699,8
B,EXP_ABL_044_disable-icp,3,3.656815,0.125130,453752,15,74,28,69,699,8
B,EXP_ABL_045_disable-machine-cse,3,3.905737,0.179934,453784,15,74,28,69,699,8
B,EXP_ABL_046_disable-machine-dce,3,3.269347,0.101218,453784,15,74,28,69,699,8
B,EXP_ABL_047_disable-machine-sink,3,3.041849,0.140536,453736,15,74,28,69,699,8
B,EXP_ABL_048_disable-mergeicmps,3,2.865093,0.124028,453752,15,74,28,69,699,8
B,EXP_ABL_049_disable-non-allocatable-phys-copy-opt,3,2.815075,0.112601,453752,15,74,28,69,699,8
B,EXP_ABL_050_disable-phi-elim-edge-splitting,3,1.975201,0.147192,453352,15,74,28,69,699,8
B,EXP_ABL_051_disable-postra-machine-sink,3,2.878280,0.120737,453752,15,74,28,69,699,8
B,EXP_ABL_052_disable-preinline,3,2.849716,0.129963,453752,15,74,28,69,699,8
B,EXP_ABL_053_disable-select-optimize,3,2.868375,0.134852,453752,15,74,28,69,699,8
B,EXP_ABL_054_disable-ssc,3,2.595372,0.133076,453784,15,74,28,69,699,8
B,EXP_ABL_055_disable-type-promotion,3,2.877653,0.132733,453752,15,74,28,69,699,8
B,EXP_ABL_056_disable-auto-upgrade-debug-info,3,2.870861,0.107378,453752,15,74,28,69,699,8
B,EXP_ABL_057_disable-bitcode-version-upgrade,3,3.002436,0.147480,453752,15,74,28,69,699,8
B,EXP_ABL_058_disable-cfi-fixup,3,2.881201,0.121430,453752,15,74,28,69,699,8
B,EXP_ABL_059_disable-cgdata-for-merging,3,2.926255,0.131275,453752,15,74,28,69,699,8
B,EXP_ABL_060_disable-global-outlining,3,2.903835,0.163798,453752,15,74,28,69,699,8
B,EXP_ABL_061_disable-last-run-tracking,3,2.908929,0.129965,453752,15,74,28,69,699,8
B,EXP_ABL_062_disable-layout-fsprofile-loader,3,2.981627,0.114811,453752,15,74,28,69,699,8
B,EXP_ABL_063_disable-nofree-inference,3,2.890253,0.133068,453752,15,74,28,69,699,8
B,EXP_ABL_064_disable-nounwind-inference,3,2.617501,0.103404,453784,15,74,28,69,699,8
B,EXP_ABL_065_disable-ondemand-mds-loading,3,2.841725,0.163165,453752,15,74,28,69,699,8
B,EXP_ABL_066_disable-ra-fsprofile-loader,3,2.813546,0.136070,453752,15,74,28,69,699,8
B,EXP_ABL_067_disable-sample-loader-inlining,3,2.881806,0.132746,453752,15,74,28,69,699,8
B,EXP_ABL_068_disable-thinlto-funcattrs,3,2.867503,0.125750,453752,15,74,28,69,699,8
B,EXP_ABL_069_disable-vp,3,2.940368,0.133136,453752,15,74,28,69,699,8
B,EXP_ABL_070_disable-whole-program-visibility,3,3.341721,0.092610,453752,15,74,28,69,699,8
B,EXP_ABL_071_disable-2addr-hack,3,2.831213,0.118522,453752,15,74,28,69,699,8
B,EXP_ABL_072_disable-cgp,3,2.934416,0.124028,453992,15,74,28,69,699,8
B,EXP_ABL_073_disable-cgp-gc-opts,3,3.018619,0.120539,453752,15,74,28,69,699,8
B,EXP_ABL_074_disable-complex-addr-modes,3,2.915506,0.147989,453752,15,74,28,69,699,8
B,EXP_ABL_075_disable-dfa-sched,3,2.933906,0.192871,453752,15,74,28,69,699,8
B,EXP_ABL_076_disable-i2p-p2i-opt,3,2.916233,0.192071,453752,15,74,28,69,699,8
