Source,Target,Type,Weight,Stability
UnreachablePropagation,global-outlining,Interaction,-0.1733292422044758,1.0
MatchBranchSimplification,phi-elim-edge-splitting,Interaction,-0.172847213899367,1.0
ReferencePropagation,memop-opt,Interaction,-0.1725866787916108,1.0
MatchBranchSimplification,adv-copy-opt,Interaction,-0.1724044605761308,0.5
ReferencePropagation,adv-copy-opt,Interaction,-0.171532080286775,1.0
MatchBranchSimplification,cgp-delete-phis,Interaction,-0.1708870729222864,1.0
ScalarReplacementOfAggregates,expand-reductions,Interaction,-0.1707544007066257,1.0
MatchBranchSimplification,ra-fsprofile-loader,Interaction,-0.1701831595595768,1.0
UnreachablePropagation,thinlto-funcattrs,Interaction,-0.1696178994552606,1.0
MatchBranchSimplification,select-optimize,Interaction,-0.1695299906815885,1.0
ReferencePropagation,strictnode-mutation,Interaction,-0.1691460499527921,1.0
ScalarReplacementOfAggregates,branch-fold,Interaction,-0.1685776299019368,0.5
UnreachablePropagation,cgp-ext-ld-promotion,Interaction,-0.1685050772723819,1.0
ReferencePropagation,separate-const-offset-from-gep,Interaction,-0.1678441398773631,1.0
ReferencePropagation,i2p-p2i-opt,Interaction,-0.167451628310097,0.5
MatchBranchSimplification,ssc,Interaction,-0.1671807057990708,1.0
UnreachablePropagation,spill-fusing,Interaction,-0.1657025750614851,0.5
MatchBranchSimplification,machine-cse,Interaction,-0.1653771803216619,0.5
ScalarReplacementOfAggregates,replace-with-vec-lib,Interaction,-0.1651209781126961,1.0
ScalarReplacementOfAggregates,licm-promotion,Interaction,-0.1650335563679013,1.0
UnreachablePropagation,whole-program-visibility,Interaction,-0.164013937864746,1.0
MatchBranchSimplification,constant-hoisting,Interaction,-0.1635948882103002,0.5
UnreachablePropagation,mr-partial-inlining,Interaction,-0.1631269467954998,1.0
UnreachablePropagation,layout-fsprofile-loader,Interaction,-0.1622097260044723,0.5
UnreachablePropagation,ondemand-mds-loading,Interaction,-0.1617393534988989,1.0
UnreachablePropagation,type-promotion,Interaction,-0.1608480882544016,1.0
MatchBranchSimplification,cfi-fixup,Interaction,-0.1604300043648701,1.0
ScalarReplacementOfAggregates,interleaved-load-combine,Interaction,-0.1591101603538427,0.5
UnreachableEnumBranching,nofree-inference,Interaction,-0.1588647856422103,0.5
UnreachableEnumBranching,layout-fsprofile-loader,Interaction,-0.1586319518057011,0.5
UnreachablePropagation,copyprop,Interaction,-0.1585700481578853,0.5
UnreachablePropagation,nofree-inference,Interaction,-0.1579230729107523,0.5
ScalarReplacementOfAggregates,postra-machine-licm,Interaction,-0.157824157712084,1.0
UnreachablePropagation,2addr-hack,Interaction,-0.1577590984861454,0.5
ScalarReplacementOfAggregates,lsr,Interaction,-0.1573248221892083,1.0
UnreachablePropagation,ra-fsprofile-loader,Interaction,-0.1553480486309943,1.0
ReferencePropagation,copyprop,Interaction,-0.1552355187566143,0.5
MatchBranchSimplification,bitcode-version-upgrade,Interaction,-0.1551850780579196,0.5
UnreachablePropagation,last-run-tracking,Interaction,-0.1541835606620925,0.5
UnreachablePropagation,complex-addr-modes,Interaction,-0.1541517489222772,1.0
UnreachablePropagation,i2p-p2i-opt,Interaction,-0.1536300757971025,0.5
UnreachablePropagation,ssc,Interaction,-0.1526534499487817,0.5
UnreachablePropagation,partial-inlining,Interaction,-0.1522929585162873,0.5
MatchBranchSimplification,sample-loader-inlining,Interaction,-0.1522082332436785,0.5
MatchBranchSimplification,2addr-hack,Interaction,-0.151991983929324,0.5
ReferencePropagation,sample-loader-inlining,Interaction,-0.1518393267895956,0.5
UnreachablePropagation,strictnode-mutation,Interaction,-0.1506461215875103,0.5
UnreachablePropagation,vp,Interaction,-0.150247338194029,0.5
ReferencePropagation,nofree-inference,Interaction,-0.1500508475975066,0.5
UnreachablePropagation,sample-loader-inlining,Interaction,-0.1499098128539522,0.5
UnreachablePropagation,cgp-delete-phis,Interaction,-0.1492053039223808,0.5
MatchBranchSimplification,layout-fsprofile-loader,Interaction,-0.1487662619709242,0.5
ReferencePropagation,complex-addr-modes,Interaction,-0.1486143888733631,0.5
UnreachablePropagation,post-ra,Interaction,-0.1477130959429948,0.5
ScalarReplacementOfAggregates,vector-combine,Interaction,-0.1473617032859517,0.5
